"legal_entity_id","division_id","division_name","division_type","division_phone","division_email","residence_area","residence_gromada_name","residence_gromada_koatuu","residence_region","residence_settlement_type","residence_settlement","residence_settlement_koatuu","residence_addresses","location","lat","lng"
"30b4716d-6237-4f10-8149-faa4c4fa4c3e","0041c652-5217-4004-a283-244ea44d3023","(Академіка Амосова)Навчально-науковий медичний центр ""Університетська клініка"" Запорізького державного медико-фармацевтичного університету","Місце провадження діяльності","+380612362253","klinikazgmu@ukr.net","ЗАПОРІЗЬКА","ЗАПОРІЗЬКА","2310100000",NULL,"місто","ЗАПОРІЖЖЯ","2310100000","ЗАПОРІЗЬКА область, місто ЗАПОРІЖЖЯ, вулиця Академіка Амосова, 83","010100000026E4839ECD964140FA9B508880E74740","47.80861","35.17815"
"ad836c7d-f162-4aa3-b2eb-61f71647ff9f","00368b75-2e4d-40c3-9f52-c02b79e86ceb","Хірургічне відділення","Місце провадження діяльності","+380484340235","kil_crb@i.ua","ОДЕСЬКА","КІЛІЙСЬКА","5122310100",NULL,"місто","КІЛІЯ","5122310100","ОДЕСЬКА область, місто Кілія, вулиця КУБИШКІНА, 19","010100000048F949B54F473D400FEECEDA6DB74640","45.43304","29.27856"
"90aeb64d-f48c-44c6-a465-50d2e28cd1cb","0034fadd-467a-428e-824d-13ddded6be5c","Амбулаторія загальної практики- сімейної медицини №1","Амбулаторія","+380968638212, +380432618937","ambulat_stanis@ukr.net","ВІННИЦЬКА","ВІННИЦЬКА","0510100000",NULL,"місто","ВІННИЦЯ","0510100000","ВІННИЦЬКА область, місто ВІННИЦЯ, вулиця Павла Корнелюка, 36","0101000000785E2A36E6793C404563EDEF6CA14840","49.261137","28.476169"
"bc8cabfc-88d9-47e4-9eba-813d537e11c9","0034f1ce-8ce4-47c5-9c36-6b4ffc6b2208","Комунальне некомерційне підприємство "" Сімейна поліклініка "" Чернігівської міської ради","Амбулаторія","+380462670673","sp@chernigiv-rada.gov.ua","ЧЕРНІГІВСЬКА","ЧЕРНІГІВСЬКА","7410100000",NULL,"місто","ЧЕРНІГІВ","7410100000","ЧЕРНІГІВСЬКА область, місто Чернігів, проспект Левка Лук'яненка, 47","010100000052EDD3F198513F40CBF3E0EEACC14940","51.51309","31.31874"
"5248f351-8eae-48d0-b9b0-5a505adcd820","002e0a96-9e1b-4189-b9ab-3472016a1d11","КНП ""Черкаський міський пологовий будинок ""Центр матері та дитини"" вул. Олени Теліги, 4","Місце провадження діяльності","+380979820194","roddom101@ukr.net","ЧЕРКАСЬКА","ЧЕРКАСЬКА","7110100000",NULL,"місто","ЧЕРКАСИ","7110100000","ЧЕРКАСЬКА область, місто ЧЕРКАСИ, вулиця Олени Теліги, 4","0101000000E4F90CA837034040C2DA183BE1B54840","49.420936","32.025136"
"0ea4d621-1115-420d-a811-06dac8ad24fc","002a1649-dcae-4869-8c55-1fe6a7845241","Амбулаторія ЗПСМ № 2 м. Синельникове (КНП \","Амбулаторія","+380685418747, +380685418747","01111701@ukr.net","ДНІПРОПЕТРОВСЬКА","СИНЕЛЬНИКІВСЬКА","1213000000",NULL,"місто","СИНЕЛЬНИКОВЕ","1213000000","ДНІПРОПЕТРОВСЬКА область, місто СИНЕЛЬНИКОВЕ, вулиця Миру, 52","01010000000DE02D90A0C041407E8CB96B09294840","48.3206","35.5049"
"837e14d2-c021-45f2-9049-aae993e6f233","0026c4e8-09dc-4038-b3c2-e981fc430dbf","Немирівська ЛА ЗПСМ","Амбулаторія","+380674331913","nemmiskcpmsd@ukr.net","ВІННИЦЬКА","НЕМИРІВСЬКА","0523010100","ВІННИЦЬКИЙ","місто","НЕМИРІВ","0523010100","ВІННИЦЬКА область, ВІННИЦЬКИЙ район, місто НЕМИРІВ, вулиця Євдокименка, 22","01010000004703780B24D83C406ADE718A8E7C4840","48.9731","28.8443"
"1e0de24a-747b-4e2d-8658-be174343df07","001d5b2f-7990-4b95-88ec-f75ab984f211","Філія КНП ""ДМП № 6"" ОМР","Місце провадження діяльності","+380487659390","odgpol6@gmail.com","ОДЕСЬКА","ОДЕСЬКА","5110100000",NULL,"місто","ОДЕСА","5110100000","ОДЕСЬКА область, місто ОДЕСА, вулиця Академіка Філатова, 7-А","0101000000FE9672D9D1B93E40DB07D74924374740","46.4307949352221","30.725858297802"
"2cd36ade-f783-433c-b867-99bfb889247a","0014c9f4-0869-4b07-b0c0-ef38d2454980","Амбулаторія загальної практики сімейної медицини №1","Амбулаторія","+380963400296","cpmsdo@pokrov-mr.gov.ua","ДНІПРОПЕТРОВСЬКА","ПОКРОВСЬКА","1212100000",NULL,"місто","ПОКРОВ","1212100000","ДНІПРОПЕТРОВСЬКА область, місто ПОКРОВ, вулиця Київська, 9","0101000000EBFF1CE6CB074140B2D991EA3BD54740","47.665891","34.06091"
"7e0ecdc9-018d-4eda-92cc-5e62b96cab74","013689b2-3f7d-48c2-9549-7bbcafd1f9da","""Харківська міська дитяча поліклініка №13"" (філія)","Філія (інший відокремлений підрозділ)","+380577255754","detpoliklinika13@ukr.net","ХАРКІВСЬКА","ХАРКІВСЬКА","6310100000",NULL,"місто","ХАРКІВ","6310100000","ХАРКІВСЬКА область, місто ХАРКІВ, вулиця Соборності України, 238","0101000000E012807F4A2D42403D821B295B044940","50.034032","36.353836"
"11e8e560-819a-45f3-84b0-5d4ff709c175","0126dc57-63a7-4b0b-b5d6-07ca94166db8","Головний корпус","Місце провадження діяльності","+380382671915","stomat_hm@ukr.net","ХМЕЛЬНИЦЬКА","ХМЕЛЬНИЦЬКА","6810100000",NULL,"місто","ХМЕЛЬНИЦЬКИЙ","6810100000","ХМЕЛЬНИЦЬКА область, місто ХМЕЛЬНИЦЬКИЙ, вулиця Кам'янецька, 94/1","010100000070D7A60C77F73A409AD99DA4AFB44840","49.4116102","26.9666603"
"4f7e862c-9b41-435a-8382-d5ce8e5c167d","01160692-b4a7-4747-bca7-bd8cbeff1918","Місце надання послуг №14","Місце провадження діяльності","+380567209469","16-gb@i.ua","ДНІПРОПЕТРОВСЬКА","ДНІПРОВСЬКА","1210100000",NULL,"місто","ДНІПРО","1210100000","ДНІПРОПЕТРОВСЬКА область, місто ДНІПРО, проспект Сергія Нігояна, 53","01010000005F984C158C7E41406284F068E33C4840","48.47569","34.98865"
"814c98f0-3ea5-4077-a79d-be901b037bb4","010c8393-617a-46da-80c4-c9b92d466b2c","Філія ТОВ ""МЦ""Медком"" місто Березне","Філія (інший відокремлений підрозділ)","+380677776621","medcom.berezne@gmail.com","РІВНЕНСЬКА","БЕРЕЗНІВСЬКА","5620410100","РІВНЕНСЬКИЙ","місто","БЕРЕЗНЕ","5620410100","РІВНЕНСЬКА область, РІВНЕНСЬКИЙ район, місто БЕРЕЗНЕ, вулиця Андріївська, 40","010100000078431A1538BF3A400E7FF21C36804940","51.0016514","26.7469495"
"1762bc33-4821-44cc-9f54-217c2d14bef2","01059d78-6bf4-4f72-8c4c-1bf5704cc095","Славутська АЗП-СМ №4","Амбулаторія","+380384272700","ole-ole@ukr.net","ХМЕЛЬНИЦЬКА","СЛАВУТСЬКА","6810600000",NULL,"місто","СЛАВУТА","6810600000","ХМЕЛЬНИЦЬКА область, місто СЛАВУТА, вулиця Привокзальна, 52-Б","0101000000B32616F88AE23A40C72B103D29294940","50.321571","26.884933"
"df2734d0-e3cd-407a-9469-552038043bca","00fe878b-1182-44f9-835c-486f7c826abf","Філія №2","Філія (інший відокремлений підрозділ)","+380508703094","kmcpmsd@ukr.net","ІВАНО-ФРАНКІВСЬКА","КАЛУСЬКА","2610400000",NULL,"місто","КАЛУШ","2610400000","ІВАНО-ФРАНКІВСЬКА область, місто КАЛУШ, вулиця Будівельників, 3","010100000092AF0F2EE0583840DF06D16A78854840","49.0427373428954","24.3471707142158"
"e4ec0de1-c637-4976-9c8a-d07d9ea94721","00f7f391-ffa4-4edf-85bc-a57ce284579a","Філія консультативно-діагностичного центру №29","Місце провадження діяльності","+380487547435","29plklnk@ukr.net","ОДЕСЬКА","ОДЕСЬКА","5110100000","ОДЕСЬКА","місто","ОДЕСА","5110100000","ОДЕСЬКА область, ОДЕСЬКА район, місто ОДЕСА, вулиця Кримська, 66","0101000000F8A57EDE54CA3E40AC71361D014A4740","46.578159","30.7903575"
"78484282-7ccb-41d5-ae08-9bd1d0f2e6a6","00eb782d-0a0e-4d00-af84-1ad921464c50","Білоцерківський підрозділ (відокремлений структурний підрозділ)","Місце провадження діяльності","+380983312348, +380456313500","koodpmg@gmail.com","КИЇВСЬКА","БІЛОЦЕРКІВСЬКА","3210300000",NULL,"місто","БІЛА ЦЕРКВА","3210300000","КИЇВСЬКА область, місто БІЛА ЦЕРКВА, провулок 2й Рокитнянський, 9А","0101000000A6B8AAECBB1A3E401EA7E8482EE74840","49.8061","30.10443"
"1e25a08d-b143-4838-a065-68749654b033","00e6cc10-9ad5-494b-a83e-6809c0f23a78","КНП ""Борзнянська МЛ"" БМР","Місце провадження діяльності","+380465321081","borzna_lik@ukr.net","ЧЕРНІГІВСЬКА","БОРЗНЯНСЬКА","7420810100","НІЖИНСЬКИЙ","місто","БОРЗНА","7420810100","ЧЕРНІГІВСЬКА область, НІЖИНСЬКИЙ район, місто БОРЗНА, вулиця СЕМЕНА ПАЛІЯ, 22","0101000000349F73B7EB3540404B5B5CE333A14940","51.259396","32.421256"
"57604f54-9b9e-45e8-8c99-addfc54295b9","00dc43b8-eac5-487f-84a1-5560a0910e2c","Місце надання послуг 1","Місце провадження діяльності","+380323437253","skml2017@ukr.net","ЛЬВІВСЬКА","СУДОВОВИШНЯНСЬКА","4622410500",NULL,"місто","СУДОВА ВИШНЯ","4622410500","ЛЬВІВСЬКА область, місто Судова Вишня, вулиця Сагайдачного, 5","01010000002D3E05C0785E374062A1D634EFE44840","49.78855","23.36903"
"204a70b5-4987-4d9d-9cdf-1779ff888425","00d8f533-bc80-4e2c-9cfc-8b641d84d00f","КНП ""КМЦ нефрології та діалізу"" вул. Миколи Пимоненко, 8","Місце провадження діяльності","+380667830955","tanya_gluza@ukr.net","М.КИЇВ","КИЇВ","8000000000",NULL,"місто","КИЇВ","8000000000","М.КИЇВ, місто КИЇВ, вулиця Микола Пимоненко, 8","01010000002041F163CC7D3E40ED0DBE30993A4940","50.4578","30.4914"
"73b32ca1-284e-420d-874e-e0a78d47a707","00d158a2-a242-4bea-b9fe-64250752565d","Стаціонарне відділення №2 КНП ""Міська лікарня №5"" ОМР","Місце провадження діяльності","+380487257480","ml5@omr.gov.ua","ОДЕСЬКА","ОДЕСЬКА","5110100000",NULL,"місто","ОДЕСА","5110100000","ОДЕСЬКА область, місто Одеса, бульвар Лідерсівський, 11","0101000000448B6CE7FBC13E40145CACA8C13C4740","46.47466","30.75775"
"b25eedad-12e4-401a-b8a6-5ed2375beb13","00cc7e3d-9951-4640-9722-ce7061adbab2","КОНСУЛЬТАТИВНО-ДІАГНОСТИЧНИЙ ЦЕНТР (СТОМАТОЛОГІЧНЕ ВІДДІЛЕННЯ, ЦЕНТРАЛІЗОВАНА БАКТЕРІОЛОГІЧНА ЛАБОРАТОРІЯ, КЛІНІКО-ДІАГНОСТИЧНА ЛАБОРАТОРІЯ)","Місце провадження діяльності","+380577255633","detpoiklinika23@ukr.net","ХАРКІВСЬКА","ХАРКІВСЬКА","6310100000",NULL,"місто","ХАРКІВ","6310100000","ХАРКІВСЬКА область, місто ХАРКІВ, вулиця Шевченка, 133","01010000000A815CE2C821424084D72E6D38004940","50.001722","36.263943"
"b2455028-f851-4d30-a553-1a7ce4ea2023","00c97bc2-d160-4c3d-a198-54cc6503b27f","Акушерське відділення, гінекологічне відділення, відділення неонатального догляду, відділення патології вагітності","Місце провадження діяльності","+380626224366","slavroddom@i.ua","ДОНЕЦЬКА","СЛОВ’ЯНСЬКА","1414100000",NULL,"місто","СЛОВ'ЯНСЬК","1414100000","ДОНЕЦЬКА область, місто Слов'янськ, вулиця Університетська, 15","0101000000D99942E735CE4240855FEAE74D6D4840","48.85394","37.61102"
"a34518a1-7ba1-4a7d-a44b-25c4081dd2be","00c51026-5e3a-45c0-95cb-055936641f45","Амбулаторія загальної практики-сімейної медицини №11","Амбулаторія","+380444443819","cpmsd2pod@ukr.net","М.КИЇВ","КИЇВ","8000000000",NULL,"місто","КИЇВ","8000000000","М.КИЇВ, місто КИЇВ, проспект Європейського Союзу, 64а","0101000000CE6F9868906E3E4079E75086AA404940","50.505204","30.431891"
"4ff95509-5572-4267-9b38-2cb6f850a7b7","00a76ca3-ec34-4e6b-b36d-795dd4c6e3da","Відділ інфекційного контролю","Філія (інший відокремлений підрозділ)","+380445630844","crp_darn@ukr.net","М.КИЇВ","КИЇВ","8000000000",NULL,"місто","КИЇВ","8000000000","М.КИЇВ, місто КИЇВ, вулиця Вербицького Архітектора, 5","0101000000A75D4C33DDA73E40255987A3AB344940","50.411488","30.655719"
"d467a5d0-f27c-4692-8c4e-75333d3f02ac","00a605e5-95bd-4357-b099-92ed69609838","Амбулаторія сімейної медицини № 1 Комунального некомерційного підприємства ""5-а міська клінічна поліклініка м.Львова""","Амбулаторія","+380322368732","5kmp_uoz_lviv@ukr.net","ЛЬВІВСЬКА","ЛЬВІВСЬКА","4610100000",NULL,"місто","ЛЬВІВ","4610100000","ЛЬВІВСЬКА область, місто ЛЬВІВ, вулиця Виговського, 41","010100000019C91EA166F83740221ADD41ECE84840","49.81971","23.970316"
"450fed95-f9ca-480e-94e6-063bb17030df","01e9f61e-3f75-4eca-a3ba-b4ce05b61a44","Сквирська амбулаторія загальної практики сімейної медицини","Амбулаторія","+380456851253","medcomprofoglskv@ukr.net","КИЇВСЬКА","СКВИРСЬКА","3224010100","БІЛОЦЕРКІВСЬКИЙ","місто","СКВИРА","3224010100","КИЇВСЬКА область, БІЛОЦЕРКІВСЬКИЙ район, місто СКВИРА, вулиця Київська, 12","010100000016F6B4C35FAB3D40431CEBE236DE4840","49.73605","29.66943"
"8f9e5fd6-9bc2-4246-84c3-e44a260890eb","01e8b97f-9498-4434-973e-51338f8ee39f","амбулаторія 6","Амбулаторія","+380487058719","cpmsd4@omr.gov.ua","ОДЕСЬКА","ОДЕСЬКА","5110100000",NULL,"місто","ОДЕСА","5110100000","ОДЕСЬКА область, місто ОДЕСА, вулиця Левітана, 62","0101000000E3F7DB4367B83E40C315AB611A344740","46.4070551","30.7203257"
"cb542ab8-cf7e-418c-93bf-dfcf95ce9060","01d509d6-6676-4378-926d-2d1a8ae6e624","ФОП Македон Л. В.","Філія (інший відокремлений підрозділ)","+380970104303","familyclinic.vn.1@gmail.com","ВІННИЦЬКА","ВІННИЦЬКА","0510100000",NULL,"місто","ВІННИЦЯ","0510100000","ВІННИЦЬКА область, місто ВІННИЦЯ, вулиця Олега Антонова, 29","0101000000656EBE11DD773C407520EBA9D59D4840","49.233083","28.468217"
"a28fd996-50ed-4e63-8209-b6e526f36d46","01d2468f-fa26-41fe-98cb-206df09114bc","КНП ""ЦПСМД №1"" Деснянського р-ну м.Києва, Амбулаторія загальної практики - сімейної медицини №8","Амбулаторія","+380445155815","cpmsd1_desna@ukr.net","М.КИЇВ","КИЇВ","8000000000",NULL,"місто","КИЇВ","8000000000","М.КИЇВ, місто КИЇВ, проспект Червоної Калини, 18 а","01010000001A6F2BBD369B3E40F2ED5D83BE404940","50.505814","30.606304"
"5951cc6c-6de3-438b-84de-9b2b6bf0bbb7","01c69e46-4556-4efe-99ba-4e1e9d658181","ТОВ ""ЕКОДНІПРО"" (Оболонь)","Місце провадження діяльності","+380800330005","medcenter.d@gmail.com","М.КИЇВ","КИЇВ","8000000000","ОБОЛОНСЬКИЙ","місто","КИЇВ","8000000000","М.КИЇВ, ОБОЛОНСЬКИЙ район, місто КИЇВ, проспект Володимира Івасюка, 4К5","010100000008E57D1CCD853E40456458C51B3F4940","50.493035","30.522661"
"5be0aa82-d486-4f9d-91e6-e17db95af2f2","01bf9c6d-8ac1-4018-9b3f-b7cfc5758181","Амбулаторія №4 Медичного центру ""Європейський Радіологічний Центр№20"" ТОВ ""Продіагностик Центр""","Амбулаторія","+380999151040","pashchenkoliubov@gmail.com","ХАРКІВСЬКА","ХАРКІВСЬКА","6310100000",NULL,"місто","ХАРКІВ","6310100000","ХАРКІВСЬКА область, місто ХАРКІВ, вулиця Амосова, 37","0101000000D8F0F44A592E42409886E12362FE4840","49.98737","36.3621"
"2e756a68-36ff-4469-95db-0d367b1fbbdb","01bb8b41-efce-4b5a-a4fb-1384715ffabc","Амбулаторія№1 ТОВ ""БОМЕД""","Філія (інший відокремлений підрозділ)","+380980103103","bomedmedcentr@gmail.com","ХМЕЛЬНИЦЬКА","ДЕРАЖНЯНСЬКА","6821510100",NULL,"місто","ДЕРАЖНЯ","6821510100","ХМЕЛЬНИЦЬКА область, місто ДЕРАЖНЯ, вулиця Миру, 9","010100000064720FAE25853F40CFFD309D31AA4840","49.2694155","27.4248554"
"c43b0735-b9b5-49c8-a373-db71868a4a2a","01b67622-0c5d-4b9d-b523-6a951764b6a1","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ 4"" ОДЕСЬКОЇ МІСЬКОЇ РАДИ","Місце провадження діяльності","+380487651065","centr_4@ukr.net","ОДЕСЬКА","ОДЕСЬКА","5110100000",NULL,"місто","ОДЕСА","5110100000","ОДЕСЬКА область, місто ОДЕСА, вулиця Ак. Філатова, 7А","01010000007E1B62BCE6B93E4067D2A6EA1E374740","46.430631","30.726177"
"714b31ae-2d25-4e40-b0ed-21085c16ce2f","01b07db7-7520-497f-8bce-a598f600e481","Терапевтичне","Амбулаторія","+380675306060","antaresmed.office@gmail.com","ДНІПРОПЕТРОВСЬКА","ДНІПРОВСЬКА","1210100000",NULL,"місто","ДНІПРО","1210100000","ДНІПРОПЕТРОВСЬКА область, місто ДНІПРО, вулиця Героїв Крут, 15","0101000000399CF9D51C884140A8C64B3789394840","48.4495","35.06338"
"cae7cd93-812d-4b71-af2d-a1a2a9129d60","01a94ec5-0522-40d7-8568-cc6dab73fcc2","Загальна практика, сімейна медицина","Амбулаторія","+380632783425","dr.averyanova2021@ukr.net","ЧЕРКАСЬКА","ЧЕРКАСЬКА","7110100000",NULL,"місто","ЧЕРКАСИ","7110100000","ЧЕРКАСЬКА область, місто ЧЕРКАСИ, вулиця Нижня Горова, 115","0101000000C37FBA81020D4040DE3CD52137B74840","49.43137","32.101639"
"a0db1d7b-bb3f-4bcf-948e-93efd406b50c","019fabf3-cb61-49e0-b868-6818476a59c1","LAVMED","Амбулаторія","+380506028969","lavmed.kr@gmail.com","КІРОВОГРАДСЬКА","КРОПИВНИЦЬКА","3510100000",NULL,"місто","КРОПИВНИЦЬКИЙ","3510100000","КІРОВОГРАДСЬКА область, місто Кропивницький, вулиця Героїв Рятувальників, 1-А","010100000095826E2F691C40406FF085C954414840","48.5104","32.22196"
"4f7cb516-0d5f-45fd-a106-0c16bfc8f8af","019f5648-df2c-4843-9ed6-b2d2f0a7a69b","Місце надання послуг 1","Місце провадження діяльності","+380972835547, +380565832119","vdnlikar@gmail.com","ДНІПРОПЕТРОВСЬКА","ВЕРХНЬОДНІПРОВСЬКА","1221010100","КАМ’ЯНСЬКИЙ","місто","ВЕРХНЬОДНІПРОВСЬК","1221010100","ДНІПРОПЕТРОВСЬКА область, КАМ’ЯНСЬКИЙ район, місто ВЕРХНЬОДНІПРОВСЬК, вулиця Європейська, 16а","01010000008BA8893E1F2B4140B0A9F3A8F8524840","48.6482135","34.336891"
"a3508530-022b-4e3f-87ee-eacf82a1cf54","018fbf4e-2359-4e69-9c77-88b19be975a1","Комунальне некомерційне підприємство ""МІСЬКА ЛКАРНЯ № 8"" Запорізької міської ради, м. Запоріжжя, вул.Брюллова, буд.6","Місце провадження діяльності","+380617023517","gb8.sekr@ukr.net","ЗАПОРІЗЬКА","ЗАПОРІЗЬКА","2310100000",NULL,"місто","ЗАПОРІЖЖЯ","2310100000","ЗАПОРІЗЬКА область, місто ЗАПОРІЖЖЯ, вулиця Брюллова, 6","0101000000713D0AD7A39041401F85EB51B8BE4740","47.8265384","35.203574"
"b0d5d5ad-8317-43d2-ba5c-c105f30839c0","018d7056-04d6-45c0-83e8-4598069b9e7f","Козацька,9/1(Лікар Здоров'я+ СМД)","Місце провадження діяльності","+380960335335","likar.ck.info@gmail.com","ЧЕРКАСЬКА","ЧЕРКАСЬКА","7110100000","Черкаський","місто","ЧЕРКАСИ","7110100000","ЧЕРКАСЬКА область, Черкаський район, місто Черкаси, вулиця Козацька, 9/1","010100000014CB2DAD860C404023BE13B35EB84840","49.44039","32.09786"
"bc3ddc90-b120-4393-9fea-05f2e969a9bb","018b930b-0cad-40c4-b8b5-1529869f6b85","Сімейна клініка ""Надія""","Амбулаторія","+380506664332","Nadiya.clinic2023@gmail.com","ПОЛТАВСЬКА","ПОЛТАВСЬКА","5310100000",NULL,"місто","ПОЛТАВА","5310100000","ПОЛТАВСЬКА область, місто ПОЛТАВА, проспект Миру, 36","0101000000ED9E3C2CD44A41400C93A98251C94840","49.5728","34.5846"
"f18221bb-c52f-4e8c-8aba-883e85531607","01896e08-192f-43f4-90c5-0e3009a9099e","Структурний підрозділ 'Міська дитяча поліклініка' Педіатричне відділення №8","Місце провадження діяльності","+380958150433","cpmkdd.if-mr@ukr.net","ІВАНО-ФРАНКІВСЬКА","ІВАНО-ФРАНКІВСЬКА","2610100000",NULL,"місто","ІВАНО-ФРАНКІВСЬК","2610100000","ІВАНО-ФРАНКІВСЬКА область, місто ІВАНО-ФРАНКІВСЬК, вулиця Сорохтея, 41 а","010100000044392C68B5B5384025766D6FB7734840","48.9040355","24.7097993"
"0c597279-18a6-4575-a653-482e092917f5","01844950-9602-45ed-a243-c7802a152e08","ФОП Робейко Фаїна Олександрівна","Амбулаторія","+380637891194, +380637891194","robeiov22@ukr.net","ЧЕРНІГІВСЬКА","СНОВСЬКА","7425810100","КОРЮКІВСЬКИЙ","місто","СНОВСЬК","7425810100","ЧЕРНІГІВСЬКА область, КОРЮКІВСЬКИЙ район, місто СНОВСЬК, вулиця Короленка, 1","01010000008F60996D5DF23F4041BCAE5FB0E84940","51.8178825","31.9467381"
